Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Octan Corp Ltd,South America,Finance,Devon Martinez,devon.martinez@octan.com,CVE-2025-3109,7.9,This is a simulated description of vulnerability number 15.,No,Yes,30,2025-03-21,13,Clean Vendor,Escalation Required,Low,Basic
Oceanic Systems East,Europe,IT,Casey Patel,casey.patel@oceanic.com,CVE-2025-3112,8.6,This is a simulated description of vulnerability number 9.,Yes,Yes,20,2025-02-18,44,Missing Contact Info,Partial Data,High,Moderate
Abstergo West,Middle East,IT,Alex Nguyen,alex.nguyen@abstergo.com,CVE-2025-30107,9.3,This is a simulated description of vulnerability number 7.,Pending,Unknown,10,2025-03-15,19,AI Flagged CVE,Timing Issue,Low,Moderate
Virtucon Solutions,Europe,IT,Taylor Davis,taylor.davis@virtucon.com,CVE-2025-3109,7.9,This is a simulated description of vulnerability number 15.,No,Unknown,20,2025-03-07,27,Repeated SLA Breaches Variant 3,Special Context,Medium,Advanced
Oceanic Systems East,Europe,IT,Casey Patel,casey.patel@oceanic.com,CVE-2025-3164,6.7,This is a simulated description of vulnerability number 10.,Pending,Yes,45,2025-03-20,14,Threat Actor Mention Variant 3 Variant 2,Special Context,Medium,Moderate
Crimson Digital Holdings,North America,HR,Alex Brown,alex.brown@crimson.com,CVE-2025-3117,5.3,This is a simulated description of vulnerability number 8.,No,Yes,30,2025-03-15,19,Log Injection Detected Variant 3,Escalation Required,Medium,Moderate
Octan Corp Ltd,South America,Finance,Devon Martinez,devon.martinez@octan.com,CVE-2025-3169,8.5,This is a simulated description of vulnerability number 13.,Pending,No,45,2025-03-20,14,Unexpected LOB Assignment Variant 2,Timing Issue,Critical,Extreme
Big MT,North America,Finance,Taylor Garcia,taylor.garcia@big.com,CVE-2025-3157,7.7,This is a simulated description of vulnerability number 6.,No,Yes,45,27/02/2025,35,Risk Spike Detected Variant 2 Variant 1,Format Error,Critical,Moderate
Rapture Central Ltd,Asia,HR,Jamie Lee,jamie.lee@rapture.com,CVE-2025-3113,8.5,This is a simulated description of vulnerability number 15.,Pending,Yes,60,2025-03-28,6,Escalated and Ignored,Special Context,Critical,Advanced
Massive Dynamic East,North America,Operations,Jamie Brown,jamie.brown@massive.com,CVE-2025-30112,7.0,This is a simulated description of vulnerability number 12.,Yes,Unknown,20,20/03/2025,14,Formatting Chaos Variant 3,Format Error,Low,Extreme
Virtucon Intl,Middle East,Operations,Alex Brown,alex.brown@virtucon.com,CVE-2025-3143,6.9,This is a simulated description of vulnerability number 6.,Yes,,45,2025-02-26,36,Duplicate CVE,Missing Field,Medium,Advanced
Hyperion LLC,North America,Compliance,Jordan Brown,jordan.brown@hyperion.com,CVE-2025-3146,8.2,This is a simulated description of vulnerability number 13.,Pending,Yes,30,2025-03-24,10,Non-English Report Variant 2,Duplicate Entry,Critical,Advanced
Cyberlife Group,South America,IT,Skyler Nguyen,skyler.nguyen@cyberlife.com,CVE-2025-3118,10.0,This is a simulated description of vulnerability number 16.,Pending,Yes,60,25/03/2025,9,Unknown Patch Status,Format Error,Low,Basic
NovaCore Group,Middle East,Operations,Alex Martinez,alex.martinez@novacore.com,CVE-2025-30102,7.6,This is a simulated description of vulnerability number 2.,Pending,No,20,2025-02-27,35,Same Day CVE Flood,Normal,High,Advanced
OmniCore Ltd,Europe,HR,Casey Brown,casey.brown@omnicore.com,CVE-2025-3119,7.3,This is a simulated description of vulnerability number 12.,Pending,Unknown,60,2025-03-01,33,Bad Date Format,Special Context,Low,Extreme
