Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
SkyTech Dynamics West,Asia,Finance,Alex Brown,alex.brown@skytech.com,CVE-2025-3119,7.3,This is a simulated description of vulnerability number 12.,Pending,Unknown,5,2025-03-13,21,Unusual Vendor Tier,Special Context,Medium,Basic
Solaris Group West,South America,Operations,Morgan Lee,morgan.lee@solaris.com,CVE-2025-3105,8.5,This is a simulated description of vulnerability number 1.,Pending,No,20,2025-02-22,40,Same Day CVE Flood,Normal,High,Advanced
Chronos Labs Solutions,South America,Operations,Devon Garcia,,CVE-2025-3156,5.7,This is a simulated description of vulnerability number 14.,Pending,Unknown,5,2025-03-30,4,Late Patch Deployment,Missing Field,Low,Moderate
Crimson Digital Holdings,North America,HR,Alex Brown,alex.brown@crimson.com,CVE-2025-3130,5.5,This is a simulated description of vulnerability number 10.,Yes,No,20,2025-02-17,45,Extra Fields Present Variant 3 Variant 3 Variant 3,Special Context,Low,Advanced
Vehement Capital Partners Group,Asia,IT,Casey Kim,casey.kim@vehement.com,CVE-2025-3156,5.7,This is a simulated description of vulnerability number 14.,No,No,60,2025-03-07,27,Email Bounce Variant 1 Variant 1,Special Context,Medium,Advanced
Umbrella Inc Holdings,South America,Finance,Jamie Lee,jamie.lee@umbrella.com,CVE-2025-3162,5.2,This is a simulated description of vulnerability number 10.,No,Unknown,30,2025-03-15,19,Region-Specific Spike,Timing Issue,Low,Advanced
Militech Group,Middle East,Operations,Skyler Wilson,skyler.wilson@militech.com,CVE-2025-3106,10.0,This is a simulated description of vulnerability number 7.,Pending,No,20,2025-02-18,44,Abnormal Port Access Variant 2 Variant 2,Escalation Required,High,Moderate
Gringotts Bank Ltd,Middle East,HR,Taylor Smith,taylor.smith@gringotts.com,CVE-2025-30119,6.4,This is a simulated description of vulnerability number 19.,Yes,Yes,10,2025-03-31,3,Risk Spike Detected Variant 3,Escalation Required,Low,Basic
Octan Corp Ltd,South America,Finance,Devon Martinez,devon.martinez@octan.com,CVE-2025-3101,6.1,This is a simulated description of vulnerability number 4.,No,Yes,20,2025-03-23,11,Missing Contact Info,Partial Data,High,Moderate
Black Mesa East,Middle East,HR,Jordan Nguyen,jordan.nguyen@black.com,CVE-2025-3158,8.2,This is a simulated description of vulnerability number 13.,No,Yes,10,2025-03-24,10,Abandoned System,Partial Data,Critical,Extreme
Big MT,North America,Finance,Taylor Garcia,taylor.garcia@big.com,CVE-2025-3133,8.6,This is a simulated description of vulnerability number 17.,No,Yes,10,2025-03-05,29,Contact Loop,Normal,High,Advanced
Initech East,Asia,IT,Devon Smith,devon.smith@initech.com,CVE-2025-30103,5.4,This is a simulated description of vulnerability number 3.,Pending,No,20,2025-03-12,22,Conflicting Data Sources Variant 1,Partial Data,Critical,Extreme
Pied Piper Group,North America,Operations,Taylor Garcia,taylor.garcia@pied.com,CVE-2025-30110,5.9,This is a simulated description of vulnerability number 10.,,Unknown,45,2025-03-13,21,Duplicate CVE,Missing Field,Medium,Advanced
Militech Group,Middle East,Operations,Skyler Wilson,skyler.wilson@militech.com,CVE-2025-3174,7.3,This is a simulated description of vulnerability number 18.,Pending,Unknown,5,2025-03-04,30,Unusual Vendor Tier,Special Context,Medium,Basic
