Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Oceanic Systems East,Europe,IT,Casey Patel,casey.patel@oceanic.com,CVE-2025-3170,7.5,This is a simulated description of vulnerability number 17.,No,No,60,2025-03-06,28,Email Bounce Variant 1 Variant 1,Special Context,Medium,Advanced
Stark Industries Intl,Middle East,Finance,Casey Smith,casey.smith@stark.com,CVE-2025-3119,7.3,This is a simulated description of vulnerability number 12.,Pending,Unknown,10,2025-03-04,30,Unusual Vendor Tier,Special Context,Medium,Basic
Oscorp Group,South America,Finance,Casey Garcia,casey.garcia@oscorp.com,CVE-2025-3146,8.2,This is a simulated description of vulnerability number 13.,Pending,Unknown,10,2025-02-21,41,False Positive,Escalation Required,High,Basic
NeoNet LLC,Asia,Finance,Taylor Smith,taylor.smith@neonet.com,CVE-2025-3163,5.2,This is a simulated description of vulnerability number 4.,Pending,No,20,2025-03-26,8,Late Patch Deployment Variant 3 Variant 2,Timing Issue,Critical,Extreme
Octan Corp Ltd,South America,Finance,Devon Martinez,devon.martinez@octan.com,CVE-2025-3103,8.5,This is a simulated description of vulnerability number 6.,Pending,Yes,30,02/04/2025,1,Unexpected LOB Assignment,Format Error,High,Moderate
NeoNet Group,Europe,Operations,Riley Nguyen,,CVE-2025-3170,7.5,This is a simulated description of vulnerability number 17.,No,No,15,2025-02-25,37,Missing Exposure,Missing Field,Low,Moderate
Hyperion Ltd,Europe,IT,Jordan Kim,jordan.kim@hyperion.com,CVE-2025-3158,8.2,This is a simulated description of vulnerability number 13.,Pending,Yes,15,2025-03-24,10,Same Day CVE Flood Variant 3 Variant 2,Partial Data,Medium,Moderate
Xanatos Enterprises Intl,Asia,IT,Jordan Patel,jordan.patel@xanatos.com,CVE-2025-3123,4.5,This is a simulated description of vulnerability number 8.,Yes,Yes,60,26/02/2025,36,Threat Actor Mention Variant 3,Format Error,Low,Moderate
Octan Corp,Asia,Operations,Casey Nguyen,casey.nguyen@octan.com,CVE-2025-3148,7.4,This is a simulated description of vulnerability number 11.,Pending,Unknown,10,2025-03-27,7,Unusual Vendor Tier,Special Context,Medium,Basic
SentryGate Services,North America,Finance,Devon Brown,devon.brown@sentrygate.com,CVE-2025-3106,10.0,This is a simulated description of vulnerability number 7.,Yes,Yes,10,2025-03-05,29,Wrong Contact Name,Timing Issue,Critical,Extreme
