Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score_x,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity,Title,Description,Affected_Product,CVSS_Score_y,Exploit_Available,Date_Published,Patch_Status,Exploit_Type,Source_File
SkyTech Dynamics West,Asia,Finance,Alex Brown,alex.brown@skytech.com,CVE-2025-3119,7.3,This is a simulated description of vulnerability number 12.,Pending,Unknown,5,2025-03-13,21,Unusual Vendor Tier,Special Context,Medium,Basic,Exploit Variant 12 Clone 19,This is a simulated description of vulnerability number 12.,Product_Z5,7.3,No,2024-12-03,Available,Privilege Escalation,auto_19.py
Solaris Group West,South America,Operations,Morgan Lee,morgan.lee@solaris.com,CVE-2025-3105,8.5,This is a simulated description of vulnerability number 1.,Pending,No,20,2025-02-22,40,Same Day CVE Flood,Normal,High,Advanced,Exploit Variant 1 Clone 5,This is a simulated description of vulnerability number 1.,Product_Y4,8.5,Yes,2025-03-05,Not Available,LFI,auto_5.py
Chronos Labs Solutions,South America,Operations,Devon Garcia,,CVE-2025-3156,5.7,This is a simulated description of vulnerability number 14.,Pending,Unknown,5,2025-03-30,4,Late Patch Deployment,Missing Field,Low,Moderate,Exploit Variant 14 Clone 56,This is a simulated description of vulnerability number 14.,Product_Y1,5.7,Yes,2024-04-14,Available,LFI,auto_56.py
Crimson Digital Holdings,North America,HR,Alex Brown,alex.brown@crimson.com,CVE-2025-3130,5.5,This is a simulated description of vulnerability number 10.,Yes,No,20,2025-02-17,45,Extra Fields Present Variant 3 Variant 3 Variant 3,Special Context,Low,Advanced,Exploit Variant 10 Clone 30,This is a simulated description of vulnerability number 10.,Product_Y4,5.5,No,2024-05-02,Available,LFI,auto_30.py
Vehement Capital Partners Group,Asia,IT,Casey Kim,casey.kim@vehement.com,CVE-2025-3156,5.7,This is a simulated description of vulnerability number 14.,No,No,60,2025-03-07,27,Email Bounce Variant 1 Variant 1,Special Context,Medium,Advanced,Exploit Variant 14 Clone 56,This is a simulated description of vulnerability number 14.,Product_Y1,5.7,Yes,2024-04-14,Available,LFI,auto_56.py
Umbrella Inc Holdings,South America,Finance,Jamie Lee,jamie.lee@umbrella.com,CVE-2025-3162,5.2,This is a simulated description of vulnerability number 10.,No,Unknown,30,2025-03-15,19,Region-Specific Spike,Timing Issue,Low,Advanced,Exploit Variant 10 Clone 62,This is a simulated description of vulnerability number 10.,Product_Y4,5.2,No,2024-06-01,Available,LFI,auto_62.py
Militech Group,Middle East,Operations,Skyler Wilson,skyler.wilson@militech.com,CVE-2025-3106,10.0,This is a simulated description of vulnerability number 7.,Pending,No,20,2025-02-18,44,Abnormal Port Access Variant 2 Variant 2,Escalation Required,High,Moderate,Exploit Variant 7 Clone 6,This is a simulated description of vulnerability number 7.,Product_Z3,10.0,No,2024-08-18,Not Available,XSS,auto_6.py
Gringotts Bank Ltd,Middle East,HR,Taylor Smith,taylor.smith@gringotts.com,CVE-2025-30119,6.4,This is a simulated description of vulnerability number 19.,Yes,Yes,10,2025-03-31,3,Risk Spike Detected Variant 3,Escalation Required,Low,Basic,Exploit Variant 19,This is a simulated description of vulnerability number 19.,Product_X1,6.4,Yes,2024-12-03,Not Available,Privilege Escalation,521119.py
Octan Corp Ltd,South America,Finance,Devon Martinez,devon.martinez@octan.com,CVE-2025-3101,6.1,This is a simulated description of vulnerability number 4.,No,Yes,20,2025-03-23,11,Missing Contact Info,Partial Data,High,Moderate,Exploit Variant 4 Clone 1,This is a simulated description of vulnerability number 4.,Product_Z1,6.1,No,2024-10-20,Unknown,RCE,auto_1.py
Black Mesa East,Middle East,HR,Jordan Nguyen,jordan.nguyen@black.com,CVE-2025-3158,8.2,This is a simulated description of vulnerability number 13.,No,Yes,10,2025-03-24,10,Abandoned System,Partial Data,Critical,Extreme,Exploit Variant 13 Clone 58,This is a simulated description of vulnerability number 13.,Product_Z4,8.2,Yes,2024-09-09,Available,RCE,auto_58.py
Big MT,North America,Finance,Taylor Garcia,taylor.garcia@big.com,CVE-2025-3133,8.6,This is a simulated description of vulnerability number 17.,No,Yes,10,2025-03-05,29,Contact Loop,Normal,High,Advanced,Exploit Variant 17 Clone 33,This is a simulated description of vulnerability number 17.,Product_X4,8.6,Yes,2024-07-09,Available,SQLi,auto_33.py
Initech East,Asia,IT,Devon Smith,devon.smith@initech.com,CVE-2025-30103,5.4,This is a simulated description of vulnerability number 3.,Pending,No,20,2025-03-12,22,Conflicting Data Sources Variant 1,Partial Data,Critical,Extreme,Exploit Variant 3,This is a simulated description of vulnerability number 3.,Product_Z1,5.4,Yes,2024-08-24,Available,Privilege Escalation,521103.py
Pied Piper Group,North America,Operations,Taylor Garcia,taylor.garcia@pied.com,CVE-2025-30110,5.9,This is a simulated description of vulnerability number 10.,,Unknown,45,2025-03-13,21,Duplicate CVE,Missing Field,Medium,Advanced,Exploit Variant 10,This is a simulated description of vulnerability number 10.,Product_Y4,5.9,No,2024-12-27,Available,LFI,521110.py
Militech Group,Middle East,Operations,Skyler Wilson,skyler.wilson@militech.com,CVE-2025-3174,7.3,This is a simulated description of vulnerability number 18.,Pending,Unknown,5,2025-03-04,30,Unusual Vendor Tier,Special Context,Medium,Basic,Exploit Variant 18 Clone 74,This is a simulated description of vulnerability number 18.,Product_X5,7.3,Yes,2024-08-29,Available,Privilege Escalation,auto_74.py
