Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score_x,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity,Title,Description,Affected_Product,CVSS_Score_y,Exploit_Available,Date_Published,Patch_Status,Exploit_Type,Source_File
NovaCore Group,Middle East,Operations,Alex Martinez,alex.martinez@novacore.com,CVE-2025-3178,6.6,This is a simulated description of vulnerability number 12.,Pending,No,5,2025-03-30,4,Long Exposure Duration Variant 1 Variant 3,Duplicate Entry,Low,Extreme,Exploit Variant 12 Clone 78,This is a simulated description of vulnerability number 12.,Product_Z5,6.6,No,2024-11-09,Available,Privilege Escalation,auto_78.py
Neon Circle,South America,Operations,Alex Davis,alex.davis@neon.com,CVE-2025-30105,9.6,This is a simulated description of vulnerability number 5.,No,No,20,2025-02-28,34,Email Bounce Variant 1 Variant 1 Variant 2,Escalation Required,Critical,Basic,Exploit Variant 5,This is a simulated description of vulnerability number 5.,Product_X3,9.6,No,2024-09-15,Unknown,SQLi,521105.py
Wonka Industries Ltd,North America,HR,Jordan Smith,jordan.smith@wonka.com,CVE-2025-3178,6.6,This is a simulated description of vulnerability number 12.,Yes,Yes,15,2025-03-14,20,Abnormal Port Access Variant 2,Special Context,Medium,Extreme,Exploit Variant 12 Clone 78,This is a simulated description of vulnerability number 12.,Product_Z5,6.6,No,2024-11-09,Available,Privilege Escalation,auto_78.py
Hooli Ltd,Europe,Operations,Casey Lee,casey.lee@hooli.com,CVE-2025-3177,6.0,This is a simulated description of vulnerability number 14.,Pending,Yes,30,2025-03-15,19,Threat Actor Mention,Duplicate Entry,Critical,Advanced,Exploit Variant 14 Clone 77,This is a simulated description of vulnerability number 14.,Product_Y1,6.0,Yes,2024-09-11,Available,LFI,auto_77.py
Crimson Digital,Europe,IT,Riley Kim,riley.kim@crimson.com,CVE-2025-3116,7.8,This is a simulated description of vulnerability number 18.,No,Yes,60,2025-03-18,16,Fake Positive,Timing Issue,Low,Advanced,Exploit Variant 18 Clone 16,This is a simulated description of vulnerability number 18.,Product_X5,7.8,Yes,2024-04-05,Available,Privilege Escalation,auto_16.py
Oceanic Systems East,Europe,IT,Casey Patel,casey.patel@oceanic.com,CVE-2025-3170,7.5,This is a simulated description of vulnerability number 17.,No,No,60,2025-03-06,28,Email Bounce Variant 1 Variant 1,Special Context,Medium,Advanced,Exploit Variant 17 Clone 70,This is a simulated description of vulnerability number 17.,Product_X4,7.5,Yes,2024-09-21,Available,SQLi,auto_70.py
Stark Industries Intl,Middle East,Finance,Casey Smith,casey.smith@stark.com,CVE-2025-3119,7.3,This is a simulated description of vulnerability number 12.,Pending,Unknown,10,2025-03-04,30,Unusual Vendor Tier,Special Context,Medium,Basic,Exploit Variant 12 Clone 19,This is a simulated description of vulnerability number 12.,Product_Z5,7.3,No,2024-12-03,Available,Privilege Escalation,auto_19.py
Oscorp Group,South America,Finance,Casey Garcia,casey.garcia@oscorp.com,CVE-2025-3146,8.2,This is a simulated description of vulnerability number 13.,Pending,Unknown,10,2025-02-21,41,False Positive,Escalation Required,High,Basic,Exploit Variant 13 Clone 46,This is a simulated description of vulnerability number 13.,Product_Z4,8.2,Yes,2025-01-25,Available,RCE,auto_46.py
NeoNet LLC,Asia,Finance,Taylor Smith,taylor.smith@neonet.com,CVE-2025-3163,5.2,This is a simulated description of vulnerability number 4.,Pending,No,20,2025-03-26,8,Late Patch Deployment Variant 3 Variant 2,Timing Issue,Critical,Extreme,Exploit Variant 4 Clone 63,This is a simulated description of vulnerability number 4.,Product_Z1,5.2,No,2024-06-23,Unknown,RCE,auto_63.py
Octan Corp Ltd,South America,Finance,Devon Martinez,devon.martinez@octan.com,CVE-2025-3103,8.5,This is a simulated description of vulnerability number 6.,Pending,Yes,30,02/04/2025,1,Unexpected LOB Assignment,Format Error,High,Moderate,Exploit Variant 6 Clone 3,This is a simulated description of vulnerability number 6.,Product_X3,8.5,No,2024-11-18,Available,XSS,auto_3.py
NeoNet Group,Europe,Operations,Riley Nguyen,,CVE-2025-3170,7.5,This is a simulated description of vulnerability number 17.,No,No,15,2025-02-25,37,Missing Exposure,Missing Field,Low,Moderate,Exploit Variant 17 Clone 70,This is a simulated description of vulnerability number 17.,Product_X4,7.5,Yes,2024-09-21,Available,SQLi,auto_70.py
Hyperion Ltd,Europe,IT,Jordan Kim,jordan.kim@hyperion.com,CVE-2025-3158,8.2,This is a simulated description of vulnerability number 13.,Pending,Yes,15,2025-03-24,10,Same Day CVE Flood Variant 3 Variant 2,Partial Data,Medium,Moderate,Exploit Variant 13 Clone 58,This is a simulated description of vulnerability number 13.,Product_Z4,8.2,Yes,2024-09-09,Available,RCE,auto_58.py
Xanatos Enterprises Intl,Asia,IT,Jordan Patel,jordan.patel@xanatos.com,CVE-2025-3123,4.5,This is a simulated description of vulnerability number 8.,Yes,Yes,60,26/02/2025,36,Threat Actor Mention Variant 3,Format Error,Low,Moderate,Exploit Variant 8 Clone 23,This is a simulated description of vulnerability number 8.,Product_Z2,4.5,No,2024-05-04,Not Available,LFI,auto_23.py
Octan Corp,Asia,Operations,Casey Nguyen,casey.nguyen@octan.com,CVE-2025-3148,7.4,This is a simulated description of vulnerability number 11.,Pending,Unknown,10,2025-03-27,7,Unusual Vendor Tier,Special Context,Medium,Basic,Exploit Variant 11 Clone 48,This is a simulated description of vulnerability number 11.,Product_Z1,7.4,Yes,2024-07-09,Available,Privilege Escalation,auto_48.py
SentryGate Services,North America,Finance,Devon Brown,devon.brown@sentrygate.com,CVE-2025-3106,10.0,This is a simulated description of vulnerability number 7.,Yes,Yes,10,2025-03-05,29,Wrong Contact Name,Timing Issue,Critical,Extreme,Exploit Variant 7 Clone 6,This is a simulated description of vulnerability number 7.,Product_Z3,10.0,No,2024-08-18,Not Available,XSS,auto_6.py
